id,title,so_hieu,co_quan_ban_hanh,nguoi_ky,doi_tuong_ap_dung,linh_vuc
166170,Luật Các tổ chức tín dụng số 32/2024/QH15,32/2024/QH15,Quốc hội,Vương Đình Huệ,1,Tín dụng
112025,"Nghị định số 73/2016/NĐ-CP Quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm",73/2016/NĐ-CP,Chính phủ,Nguyễn Xuân Phúc,1,Tài chính - Ngân hàng
38128,"Thông tư số 37/2014/TT-NHNN Quy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam",37/2014/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đào Minh Tú,1,Phát hành và kho quỹ
26750,Luật Kiểm toán độc lập số 67/2011/QH12,67/2011/QH12,Quốc hội,Nguyễn Phú Trọng,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh",Tài chính - Ngân hàng
163441,Nghị định số 46/2023/NĐ-CP Quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm,46/2023/NĐ-CP,Chính phủ,Lê Minh Khái,1,Bảo hiểm
146468,Nghị định số 156/2020/NĐ-CP Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán,156/2020/NĐ-CP,Chính phủ,Nguyễn Xuân Phúc,"tổ chức, trừ trường hợp quy định tại khoản 3 và khoản 4 Điều 15, khoản 2 và khoản 4 Điều 30, khoản 3",Chứng khoán
168220,"Thông tư số 27/2024/TT-NHNN Quy định về việc ngân hàng hợp tác xã, việc trích nộp, quản lý và sử dụng Quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân",27/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Đào Minh Tú,1,"Thanh tra, giám sát ngân hàng"
133858,Nghị định số 05/2019/NĐ-CP Về kiểm toán nội bộ,05/2019/NĐ-CP,Chính phủ,Nguyễn Xuân Phúc,1,Tài chính - Ngân hàng
169221,"Thông tư số 43/2024/TT-NHNN sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn việc tổ chức thực hiện hoạt đọng quản lý dự trữ ngoại hối nhà nước.",43/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,Phạm Thanh Hà,ngày thực hiện giao dịch,Quản lý ngoại hối
95652,Nghị định số 135/2015/NĐ-CP Quy định về đầu tư gián tiếp ra nước ngoài,135/2015/NĐ-CP,Chính phủ,Nguyễn Tấn Dũng,1,Tài chính - Ngân hàng
f69936f0-6937-11f1-a48d-29bc6b0fd706,Văn bản hợp nhất Nghị định số 156/2020/NĐ-CP Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán,17/VBHN-BTC,Bộ Tài chính,Nguyễn Đức Chi,"tổ chức, trừ trường hợp quy định tại các khoản 3, 4 và 5 Điều 15, Khoản 2 Điều 30 Nghị định này quy ",nan
30402,"Thông tư số 202/2012/TT-BTC Hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán",202/2012/TT-BTC,Bộ Tài chính,Trần Xuân Hà,1,Quản lý dịch vụ tài chính và các quỹ tài chính
